Company,TypeName,Inches,ScreenResolution,Cpu,Ram,Memory,Gpu,OpSys,Price,Storage Type
HP,Notebook,14.0,1366x768 HD Ready,Intel Celeron Dual Core N3060 1.6GHz,2,32 ,Intel HD Graphics 400,Windows 10,14865.12,Other
Dell,Ultrabook,15.6,Full HD 1920x1080,Intel Core i7 8650U 1.9GHz,16,512 +  256,Intel UHD Graphics 620,Windows 10,85672.1088,SSD
Asus,2 in 1 Convertible,11.6,Touchscreen 1366x768 HD Ready,Intel Celeron Dual Core N3350 1.1GHz,4,32 ,Intel HD Graphics 500,Windows 10,19980.0,Other
Dell,Ultrabook,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,1 ,AMD Radeon 530,Windows 10,35324.64,Other
Dell,Notebook,15.6,4K Ultra HD / Touchscreen 3840x2160,Intel Core i7 7700HQ 2.8GHz,16,512,Nvidia GeForce GTX 1050,Windows 10,108020.9376,SSD
HP,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,256,Intel HD Graphics 620,Windows 10,69477.12,SSD
MSI,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8,128 +  1 ,Nvidia GeForce GTX 1060,Windows 10,75071.52,SSD
HP,Workstation,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8,256,Nvidia Quadro M1200,Windows 10,92615.0256,SSD
Toshiba,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 6500U 2.5GHz,16,512,Nvidia GeForce 930M,Windows 10,74751.84,SSD
Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,128 +  2 ,AMD Radeon 530,Windows 10,51729.55199999999,SSD
Lenovo,Notebook,15.6,1366x768 HD Ready,Intel Celeron Dual Core N3350 1.1GHz,4,1 ,Intel HD Graphics 500,No OS,17155.627200000003,Other
Dell,Gaming,15.6,Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8,1 ,Nvidia GeForce GTX 1050,Windows 10,53226.72,Other
Dell,Notebook,15.6,Touchscreen 1366x768 HD Ready,Intel Core i5 7200U 2.5GHz,8,2 ,Intel HD Graphics 620,Windows 10,29696.6736,Other
Dell,Notebook,14.0,Full HD 1920x1080,Intel Core i5 7300U 2.6GHz,8,256,Intel HD Graphics 620,Windows 10,76030.56,SSD
HP,Notebook,15.6,1366x768 HD Ready,Intel Core i3 6006U 2GHz,4,500 ,Intel HD Graphics 520,Windows 10,23389.92,Other
Asus,Notebook,14.0,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,256,Intel HD Graphics 620,Windows 10,50349.6,SSD
Lenovo,Notebook,17.3,1600x900 HD,Intel Core i5 7200U 2.5GHz,6,128 +  1 ,Nvidia GeForce GTX 940MX,Windows 10,38308.32,SSD
HP,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,1 ,Intel HD Graphics 620,Windows 10,34045.92,Other
Lenovo,Notebook,15.6,1366x768 HD Ready,Intel Core i3 6006U 2GHz,8,256,Nvidia GeForce 920MX ,No OS,26586.72,SSD
HP,Notebook,15.6,1366x768 HD Ready,Intel Pentium Quad Core N3710 1.6GHz,8,2 ,Intel HD Graphics 405,Windows 10,20725.92,Other
Dell,Notebook,17.3,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,128 +  1 ,AMD Radeon 530,Windows 10,57808.8,SSD
Lenovo,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8,128 +  1 ,Nvidia GeForce GTX 1050,No OS,43103.52,SSD
Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,256,AMD Radeon R7 M445,Windows 10,47898.72,SSD
HP,Ultrabook,14.0,IPS Panel Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,256,Intel HD Graphics 620,Windows 10,93240.0,SSD
Asus,2 in 1 Convertible,15.6,Full HD / Touchscreen 1920x1080,Intel Core i7 7500U 2.7GHz,12,512 +  2 ,Nvidia GeForce GT 940MX,Windows 10,58554.72,SSD
Acer,Notebook,15.6,1366x768 HD Ready,AMD A9-Series 9420 3GHz,4,128,AMD Radeon R5,Windows 10,22697.28,SSD
Asus,Gaming,17.3,IPS Panel Full HD 1920x1080,AMD Ryzen 1700 3GHz,16,256 +  1 ,AMD Radeon RX 580,Windows 10,117162.72,SSD
Lenovo,Notebook,17.3,1600x900 HD,AMD A8-Series 7410 2.2GHz,4,128,AMD Radeon R5,Windows 10,26053.92,SSD
Dell,2 in 1 Convertible,13.3,Full HD / Touchscreen 1920x1080,Intel Core i7 8550U 1.8GHz,8,256,Intel UHD Graphics 620,Windows 10,46300.85279999999,SSD
HP,Notebook,15.6,Full HD 1920x1080,AMD A9-Series 9420 3GHz,4,256,AMD Radeon R5,Windows 10,26053.3872,SSD
Lenovo,Netbook,11.6,IPS Panel 1366x768 HD Ready,Intel Celeron Quad Core N3450 1.1GHz,4,128,Intel HD Graphics 500,Windows 10,29463.84,SSD
Dell,Notebook,15.6,1366x768 HD Ready,Intel Celeron Dual Core N3060 1.60GHz,4,500 ,Intel HD Graphics 400,Windows 10,16463.52,Other
Asus,Notebook,14.0,1366x768 HD Ready,Intel Celeron Dual Core N3350 1.1GHz,4,32 ,Intel HD Graphics 500,Windows 10,15238.08,Other
Acer,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8,1 ,Nvidia GeForce GTX 1050,Linux,45074.88,Other
HP,Gaming,17.3,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8,128 +  1 ,Nvidia GeForce GTX 1050,Windows 10,63456.48,SSD
Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4,128,Intel HD Graphics 520,No OS,21498.48,SSD
Asus,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8,128 +  1 ,Nvidia GeForce GTX 1060,Windows 10,88178.4,SSD
Lenovo,Notebook,14.0,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,256,Nvidia GeForce 940MX,Windows 10,58554.72,SSD
Asus,Ultrabook,13.3,Full HD / Touchscreen 1920x1080,Intel Core i7 7500U 2.7GHz,16,512,Intel HD Graphics 620,Windows 10,93181.392,SSD
Lenovo,Ultrabook,14.0,IPS Panel 2560x1440,Intel Core i7 7500U 2.7GHz,8,512,Intel HD Graphics 620,Windows 10,121584.96,SSD
Lenovo,Notebook,13.3,IPS Panel Full HD 1920x1080,Intel Core i3 7100U 2.4GHz,4,128,Intel HD Graphics 620,Windows 10,29250.72,SSD
Dell,Workstation,15.6,Full HD 1920x1080,Intel Core i5 6440HQ 2.6GHz,8,500 ,AMD FirePro W5130M,Windows 10,72940.31999999999,Other
Dell,Workstation,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 6820HQ 2.7GHz,8,256,Nvidia Quadro M1200,Windows 10,113752.8,SSD
Lenovo,2 in 1 Convertible,14.0,Touchscreen 2560x1440 QHD,Intel Core i7 7500U 2.7GHz,16,512,Intel HD Graphics 620,Windows 10,133679.52,SSD
Asus,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8,1 ,Nvidia GeForce GTX 1050,Windows 10,55357.92,Other
Asus,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,256 +  1 ,Nvidia GeForce GTX 1050 Ti,Windows 10,84768.48,SSD
Acer,Notebook,15.6,IPS Panel 1366x768 HD Ready,Intel Core i5 8250U 1.6GHz,12,1 ,Nvidia GeForce MX130,Windows 10,36975.7872,Other
MSI,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8,256,Nvidia GeForce GTX 1050 Ti,Windows 10,71874.72,SSD
Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,256,AMD Radeon R7 M445,Linux,41498.1936,SSD
HP,Ultrabook,15.6,Full HD 1920x1080,AMD A9-Series 9420 3GHz,4,256,AMD Radeon 520,Windows 10,26586.72,SSD
Lenovo,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,256,AMD Radeon RX 550,Windows 10,65510.9568,SSD
Lenovo,Notebook,14.0,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,256,Intel HD Graphics 620,Windows 10,49976.64,SSD
Dell,Workstation,15.6,4K Ultra HD / Touchscreen 3840x2160,Intel Core i7 7700HQ 2.8GHz,8,256,Nvidia Quadro M1200,Windows 10,144495.36,SSD
Lenovo,Ultrabook,14.0,IPS Panel 2560x1440,Intel Core i7 7500U 2.7GHz,16,1,Intel HD Graphics 620,Windows 10,139860.0,SSD
Lenovo,Notebook,15.6,1366x768 HD Ready,Intel Celeron Dual Core N3350 1.1GHz,4,1 ,Intel HD Graphics 500,Windows 10,16303.68,Other
Asus,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,256 +  1 ,Nvidia GeForce GTX 1050,Windows 10,81465.12,SSD
Lenovo,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,256 +  1 ,AMD Radeon RX 550,Windows 10,60978.96,SSD
Acer,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8,256,Nvidia GeForce GTX 1050,Linux,46833.12,SSD
MSI,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,256 +  1 ,Nvidia GeForce GTX 1070,Windows 10,119826.72,SSD
Asus,Ultrabook,14.0,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,512,Intel HD Graphics 620,Windows 10,99793.44,SSD
Toshiba,Ultrabook,13.3,Full HD 1920x1080,Intel Core i7 6500U 2.5GHz,16,512,Intel HD Graphics 520,Windows 10,93080.16,SSD
Dell,Ultrabook,14.0,Full HD 1920x1080,Intel Core i7 7600U 2.8GHz,8,512,Intel HD Graphics,Windows 10,89510.4,SSD
Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4,500 ,Intel HD Graphics 520,Windows 10,21791.52,Other
Lenovo,Notebook,11.6,1366x768 HD Ready,Intel Celeron Dual Core N3350 1.1GHz,2,32 ,Intel HD Graphics 500,Windows 10,16221.096,Other
Lenovo,Workstation,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8,512,Nvidia Quadro M1200,Windows 10,102564.0,SSD
Lenovo,Ultrabook,14.0,IPS Panel Full HD 2560x1440,Intel Core i7 7700HQ 2.8GHz,8,512,Nvidia GeForce GT 940MX,Windows 10,103523.04,SSD
HP,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4,1 ,AMD Radeon 520,Windows 10,24988.32,Other
Acer,2 in 1 Convertible,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i7 6500U 2.5GHz,8,256,Intel HD Graphics 520,Windows 10,42038.4528,SSD
Asus,2 in 1 Convertible,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i5 7200U 2.5GHz,8,256,Intel HD Graphics 620,Windows 10,49443.84,SSD
Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,4,256,AMD Radeon R5 M430,Linux,31909.392,SSD
Dell,Notebook,13.3,1366x768 HD Ready,Intel Core i3 6006U 2GHz,4,128,Intel HD Graphics 520,Windows 10,36709.92,SSD
HP,Ultrabook,14.0,Full HD 1920x1080,Intel Core i7 6500U 2.5GHz,8,256,Intel HD Graphics 520,Windows 10,79920.0,SSD
Dell,Notebook,15.6,1366x768 HD Ready,Intel Core i5 7200U 2.5GHz,8,1 ,Intel HD Graphics 620,Windows 10,28768.536,Other
Lenovo,Ultrabook,14.0,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,256,AMD Radeon RX 550,Windows 10,64755.44640000001,SSD
Lenovo,2 in 1 Convertible,15.6,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,Intel Core i7 7700HQ 2.8GHz,16,512,Nvidia GeForce GTX 1050,Windows 10,101178.72,SSD
Chuwi,Notebook,12.3,IPS Panel Retina Display 2736x1824,Intel Celeron Quad Core N3450 1.1GHz,6,64 ,Intel HD Graphics 500,Windows 10,23922.72,Other
HP,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7820HQ 2.9GHz,8,256,Intel HD Graphics 630,Windows 10,76030.56,SSD
Asus,Notebook,15.6,Full HD 1920x1080,Intel Core i3 7100U 2.4GHz,8,1 ,Nvidia GeForce 940MX,Linux,31808.16,Other
Dell,Gaming,17.3,IPS Panel 2560x1440,Intel Core i7 7820HK 2.9GHz,16,256 +  1 ,Nvidia GeForce GTX 1070,Windows 10,149130.72,SSD
Dell,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8,128 +  1 ,Nvidia GeForce GTX 1050 Ti,Windows 10,61751.52,SSD
Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,256 +  2 ,AMD Radeon 530,Windows 10,60867.072,SSD
Dell,Ultrabook,14.0,Full HD 1920x1080,Intel Core i7 7600U 2.8GHz,8,256,Intel HD Graphics 620,Linux,58554.72,SSD
HP,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,12,256 +  1 ,Nvidia GeForce GTX 1070,Windows 10,106506.72,SSD
Mediacom,2 in 1 Convertible,11.6,IPS Panel Full HD / Touchscreen 1920x1080,Intel Celeron Dual Core N3350 1.1GHz,4,32,Intel HD Graphics 500,Windows 10,15930.72,SSD
Samsung,Netbook,11.6,1366x768 HD Ready,Intel Celeron Dual Core N3060 1.6GHz,4,16 ,Intel HD Graphics 400,Chrome OS,14332.32,Other
Lenovo,Notebook,13.3,IPS Panel Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,256,Intel HD Graphics 620,Windows 10,53812.8,SSD
Lenovo,Notebook,14.0,IPS Panel Full HD 1920x1080,Intel Core i3 7130U 2.7GHz,4,128,Intel HD Graphics 620,Windows 10,31914.72,SSD
Lenovo,Workstation,15.6,IPS Panel 4K Ultra HD 3840x2160,Intel Core i7 7600U 2.8GHz,16,512,Nvidia GeForce 940MX,Windows 10,130269.6,SSD
Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7820HQ 2.9GHz,16,512,Nvidia Quadro M2200M,Windows 10,130482.72,SSD
Asus,Gaming,17.3,Full HD 1920x1080,AMD Ryzen 1600 3.2GHz,8,256 +  1 ,AMD Radeon RX 580,Windows 10,90309.6,SSD
HP,Notebook,15.6,1366x768 HD Ready,Intel Celeron Dual Core N3060 1.6GHz,4,500 ,Intel HD Graphics 400,Windows 10,18488.16,Other
Google,Ultrabook,12.3,Touchscreen 2400x1600,Intel Core i7 7Y75 1.3GHz,16,512,Intel HD Graphics 615,Chrome OS,117162.72,SSD
Lenovo,Ultrabook,14.0,2560x1440,Intel Core i7 7500U 2.7GHz,24,512,Intel HD Graphics 620,Windows 10,126912.96,SSD
Asus,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,4,256,Intel HD Graphics 620,Linux,29783.52,SSD
Lenovo,Notebook,17.3,1600x900 HD,AMD A6-Series 9220 2.5GHz,8,1 ,AMD Radeon R4,Windows 10,27652.32,Other
Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,4,256,AMD Radeon 530,Windows 10,39906.72,SSD
Lenovo,Ultrabook,12.5,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,256,Intel HD Graphics 620,Windows 10,76137.12,SSD
Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Pentium Quad Core N4200 1.1GHz,4,128,Intel HD Graphics 505,Windows 10,18594.72,SSD
HP,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8,128 +  1 ,Nvidia GeForce GTX 1050,Windows 10,58554.72,SSD
Dell,Notebook,14.0,Full HD 1920x1080,Intel Core i5 7440HQ 2.8GHz,8,256,Nvidia GeForce 930MX,Windows 10,62817.12,SSD
Acer,Notebook,15.6,1366x768 HD Ready,Intel Core i5 7200U 2.5GHz,4,500 ,Intel HD Graphics 620,Linux,23539.104,Other
Dell,Workstation,15.6,Full HD 1920x1080,Intel Xeon E3-1505M V6 3GHz,8,64  +  1 ,Nvidia Quadro M620,Windows 10,106187.04,Other
MSI,Gaming,15.6,Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8,256,Nvidia GeForce GTX 1050,Windows 10,54757.9872,SSD
Microsoft,Ultrabook,13.5,Touchscreen 2256x1504,Intel Core i7 7660U 2.5GHz,16,512,Intel Iris Plus Graphics 640,Windows 10 S,137941.91999999998,SSD
HP,Notebook,15.6,1366x768 HD Ready,Intel Core i5 7200U 2.5GHz,8,128,Intel HD Graphics 620,Windows 10,31381.92,SSD
Dell,Workstation,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 6820HQ 2.7GHz,16,256,Nvidia Quadro M620,Windows 10,105228.0,SSD
HP,Workstation,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7820HQ 2.9GHz,8,512,Intel HD Graphics 620,Windows 10,81731.52,SSD
Lenovo,Notebook,14.0,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,256,Intel HD Graphics 620,Windows 10,71661.59999999999,SSD
Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,128 +  1 ,AMD Radeon 530,Windows 10,52161.12,SSD
Dell,2 in 1 Convertible,11.6,Touchscreen 1366x768 HD Ready,Intel Pentium Quad Core N3710 1.6GHz,4,500 ,Intel HD Graphics 405,Windows 10,25521.12,Other
Dell,Notebook,17.3,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.7GHz,8,1 ,Nvidia GeForce GTX 1060,Windows 10,109010.88,Other
Microsoft,Ultrabook,13.5,Touchscreen 2256x1504,Intel Core M m3-7Y30 2.2GHz,4,128,Intel HD Graphics 615,Windows 10 S,52693.92,SSD
Microsoft,Ultrabook,13.5,Touchscreen 2256x1504,Intel Core i7 7660U 2.5GHz,8,256,Intel Iris Plus Graphics 640,Windows 10 S,95850.72,SSD
HP,Notebook,17.3,1600x900 HD,Intel Core i3 6006U 2GHz,8,256,Intel HD Graphics 520,Windows 10,34093.872,SSD
Acer,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4,1 ,Nvidia GeForce 940MX,Windows 10,28984.32,Other
Acer,Netbook,11.6,1366x768 HD Ready,Intel Celeron Dual Core N3060 1.6GHz,4,128,Intel HD Graphics 400,Windows 10,23176.8,SSD
Asus,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,1 ,Intel HD Graphics 620,Windows 10,39906.72,Other
Lenovo,Notebook,14.0,IPS Panel Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,512,AMD Radeon R7 M460,No OS,42570.72,SSD
Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7820HQ 2.9GHz,8,256,Nvidia Quadro M2200M,Windows 10,111355.2,SSD
Asus,Notebook,15.6,1366x768 HD Ready,Intel Pentium Quad Core N4200 1.1GHz,4,500 ,Intel HD Graphics 500,Windows 10,16197.12,Other
Acer,Notebook,15.6,1366x768 HD Ready,Intel Core i3 6006U 2GHz,4,500 ,Nvidia GeForce GTX 940MX,Windows 10,24988.32,Other
Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,2 ,AMD Radeon 530,Windows 10,40439.52,Other
HP,Gaming,17.3,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,12,1 ,Nvidia GeForce GTX 1060,Windows 10,90522.72,Other
Lenovo,Ultrabook,14.0,IPS Panel Quad HD+ 2560x1440,Intel Core i7 6600U 2.6GHz,12,256,Intel HD Graphics 520,Windows 10,98994.24,SSD
HP,2 in 1 Convertible,13.3,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,Intel Core i7 8550U 1.8GHz,8,512,Intel UHD Graphics 620,Windows 10,106506.72,SSD
HP,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,500 ,AMD FirePro W4190M ,Windows 10,61485.12,Other
Google,Ultrabook,12.3,Touchscreen 2400x1600,Intel Core i5 7Y57 1.2GHz,8,128,Intel HD Graphics 615,Chrome OS,67932.0,SSD
Dell,Ultrabook,13.3,Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,8,256,Intel UHD Graphics 620,Windows 10,98133.768,SSD
Asus,Notebook,15.6,IPS Panel 4K Ultra HD 3840x2160,Intel Core i7 6700HQ 2.6GHz,12,128 +  1 ,Intel HD Graphics 530,Windows 10,69210.72,SSD
Dell,Notebook,14.0,1366x768 HD Ready,Intel Core i3 6100U 2.3GHz,8,128,Intel HD Graphics 520,Windows 10,39427.2,SSD
Dell,Workstation,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8,256,Nvidia Quadro M1200,Windows 10,128298.24,SSD
Lenovo,Notebook,14.0,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,180,Intel HD Graphics 620,Windows 10,72673.92,SSD
Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,1 ,AMD Radeon 520,Windows 10,35964.0,Other
Toshiba,Notebook,13.3,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,256,Intel HD Graphics 620,Windows 10,89084.16,SSD
Dell,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,512,Nvidia GeForce 940MX,Windows 10,67239.36,SSD
Dell,Notebook,15.6,1366x768 HD Ready,Intel Core i3 7100U 2.4GHz,4,1 ,Intel HD Graphics 620,Windows 10,31254.048,Other
HP,Notebook,13.3,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,4,128,Intel UHD Graphics 620,Windows 10,38681.28,SSD
Chuwi,Notebook,15.6,Full HD 1920x1080,Intel Atom x5-Z8350 1.44GHz,4,64 ,Intel HD Graphics,Windows 10,13261.392000000002,Other
Lenovo,Notebook,15.6,1366x768 HD Ready,Intel Core i3 6006U 2.0GHz,4,128,Intel HD Graphics 520,Windows 10,30103.2,SSD
Lenovo,Notebook,14.0,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,256,Intel UHD Graphics 620,Windows 10,55890.72,SSD
Dell,Workstation,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 6820HQ 2.7GHz,16,512,Nvidia Quadro M620,Windows 10,124568.64,SSD
Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,512,Nvidia GeForce GTX 1050,Windows 10,101178.72,SSD
Lenovo,Ultrabook,12.5,IPS Panel Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,16,512,Intel HD Graphics 620,Windows 10,95797.44,SSD
Asus,Ultrabook,12.5,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,16,512,Intel HD Graphics 620,Windows 10,103896.0,SSD
Lenovo,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,256,Nvidia GeForce 940MX,Windows 10,53918.82719999999,SSD
Toshiba,Ultrabook,13.3,Full HD / Touchscreen 1920x1080,Intel Core i7 7500U 2.7GHz,32,512,Intel HD Graphics 620,Windows 10,149130.72,SSD
Asus,Gaming,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8,128 +  1 ,Nvidia GeForce GTX 1050,Windows 10,71928.0,SSD
Acer,Notebook,15.6,1366x768 HD Ready,AMD A10-Series 9620P 2.5GHz,8,1 ,AMD Radeon RX 540,Windows 10,30849.12,Other
Asus,Gaming,17.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i7 6700HQ 2.6GHz,24,256 +  1 ,Nvidia GeForce GTX 965M,Windows 10,67612.31999999999,SSD
Lenovo,Ultrabook,12.5,IPS Panel 1366x768 HD Ready,Intel Core i5 6200U 2.3GHz,8,180,Intel HD Graphics 520,Windows 10,58554.72,SSD
Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,256,Intel UHD Graphics 620,Windows 10,47893.39199999999,SSD
HP,Notebook,14.0,Full HD 1920x1080,Intel Core i7 7600U 2.8GHz,8,1,Intel HD Graphics 620,Windows 10,93186.72,SSD
Lenovo,Notebook,13.3,IPS Panel Full HD 1920x1080,Intel Core i3 7100U 2.4GHz,8,256,Intel HD Graphics 620,Windows 10,50562.72,SSD
Lenovo,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,256,Intel HD Graphics 620,Windows 10,48538.08,SSD
Asus,Netbook,11.6,1366x768 HD Ready,Intel Celeron Dual Core N3350 1.1GHz,4,64 ,Intel HD Graphics 500,Windows 10 S,18115.2,Other
HP,Notebook,15.6,1366x768 HD Ready,Intel Core i5 7200U 2.5GHz,8,256,AMD Radeon 520,Windows 10,32979.7872,SSD
Lenovo,2 in 1 Convertible,13.9,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,8,256,Intel UHD Graphics 620,Windows 10,85194.72,SSD
Lenovo,Notebook,14.0,1366x768 HD Ready,Intel Celeron Dual Core N3350 1.1GHz,4,500 ,Intel HD Graphics 500,Windows 10,15930.72,Other
Lenovo,Netbook,11.6,1366x768 HD Ready,Intel Celeron Dual Core N3060 1.6GHz,4,16,Intel HD Graphics 400,Chrome OS,14119.2,SSD
Lenovo,Notebook,13.3,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,256,Intel HD Graphics 620,Windows 10,50562.72,SSD
Asus,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,256 +  1 ,Intel HD Graphics 620,Windows 10,65214.72,SSD
Acer,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,4,1 ,Nvidia GeForce MX150,Windows 10,32660.64,Other
HP,Ultrabook,13.3,IPS Panel Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,512,Intel HD Graphics 620,Windows 10,70489.44,SSD
Lenovo,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8,256 +  1 ,Nvidia GeForce GTX 1060,No OS,61218.72,SSD
Dell,Ultrabook,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i5 7200U 2.5GHz,8,128,Intel HD Graphics 620,Windows 10,47898.72,SSD
Acer,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,4,500 ,Nvidia GeForce 940MX,Windows 10,34045.92,Other
Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,1 ,Intel HD Graphics 620,Windows 10,44542.08,Other
Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,16,256 +  2 ,AMD Radeon 530,Windows 10,64961.10719999999,SSD
Xiaomi,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,16,256,Nvidia GeForce MX150,No OS,74589.336,SSD
Asus,Netbook,11.6,1366x768 HD Ready,Intel Celeron Dual Core N3350 1.1GHz,2,32 ,Intel HD Graphics 500,Windows 10,13053.6,Other
HP,Notebook,15.6,Touchscreen 1366x768 HD Ready,Intel Core i5 8250U 1.6GHz,4,1 ,Intel UHD Graphics 620,Windows 10,27783.9216,Other
